feature,coef,abs_coef
cat__Contract_Month-to-month,0.7394788802063786,0.7394788802063786
cat__InternetService_Fiber optic,0.5928971838535397,0.5928971838535397
num__TotalCharges,0.5497303066875023,0.5497303066875023
cat__StreamingTV_Yes,0.22240988188444968,0.22240988188444968
cat__PaymentMethod_Electronic check,0.21729023133598435,0.21729023133598435
cat__StreamingMovies_Yes,0.19460825777378737,0.19460825777378737
cat__OnlineSecurity_No,0.1916037752902785,0.1916037752902785
cat__TechSupport_No,0.16730521997812783,0.16730521997812783
cat__MultipleLines_Yes,0.09101876310150836,0.09101876310150836
cat__OnlineBackup_No,0.06886205072010235,0.06886205072010235
num__SeniorCitizen,0.06142492915108317,0.06142492915108317
cat__PaperlessBilling_Yes,0.0546700409238102,0.0546700409238102
cat__DeviceProtection_Yes,0.032407526786479096,0.032407526786479096
cat__Dependents_No,0.025131131103174387,0.025131131103174387
cat__DeviceProtection_No,0.018019961207363343,0.018019961207363343
cat__MultipleLines_No phone service,-0.015082607743852174,0.015082607743852174
cat__PhoneService_No,-0.015082607743852174,0.015082607743852174
cat__OnlineBackup_Yes,-0.018434562726255373,0.018434562726255373
cat__Contract_One year,-0.047072180734326716,0.047072180734326716
cat__gender_Female,-0.06137408828264926,0.06137408828264926
